sampleid	raw	filt	%_filt
BL6S_7_11_2022_1_EKDL220017801_1A_HKLKJDSX5_L3.txt	22.31	20.38	8.64
BL6S_7_11_2022_1_EKDL220017801_1A_HMNK7DSX5_L4.txt	13.25	12.24	7.6
BL6S_7_11_2022_2_EKDL220017801_1A_HKLKJDSX5_L3.txt	25.27	22.66	10.31
BL6S_7_11_2022_2_EKDL220017801_1A_HMNK7DSX5_L4.txt	14.84	13.46	9.33
Bl6S_DANs_H1_EKDL230000933_1A_HNHG2ALXX_L2.txt	40.64	33.53	17.51
Bl6S_DANs_H2_EKDL230000933_1A_HNHG2ALXX_L2.txt	45.44	37.18	18.18
FF9S_7_11_2022_1_EKDL220017801_1A_HKLKJDSX5_L3.txt	21.66	19.75	8.83
FF9S_7_11_2022_1_EKDL220017801_1A_HMNK7DSX5_L4.txt	12.83	11.85	7.7
FF9S_7_11_2022_2_EKDL220017801_1A_HKLKJDSX5_L3.txt	20.14	18.21	9.59
FF9S_7_11_2022_2_EKDL220017801_1A_HMNK7DSX5_L4.txt	11.94	10.91	8.62
FF9S_DANs_E1_EKDL230000933_1A_HNHG2ALXX_L2.txt	37.61	30.66	18.48
FF9S_DANs_E2_EKDL230000933_1A_HNHG2ALXX_L2.txt	42	33.17	21.03
FF9S_MSNs_A1_EKDL230000933_1A_HNHG2ALXX_L2.txt	34.46	28.76	16.55
FF9S_MSNs_A2_EKDL230000933_1A_HNHG2ALXX_L2.txt	41.58	33.91	18.44
Ku15L_MSNs_G1_EKDL230000933_1A_HNHG2ALXX_L2.txt	38.26	28.73	24.92
P12_1_7_11_22_1_EKDL220017801_1A_HKLKJDSX5_L3.txt	20.25	18.26	9.84
P12_1_7_11_22_1_EKDL220017801_1A_HMNK7DSX5_L4.txt	12.01	10.96	8.74
P12_1_7_11_22_2_EKDL220017801_1A_HKLKJDSX5_L3.txt	25.59	22.89	10.58
P12_1_7_11_22_2_EKDL220017801_1A_HMNK7DSX5_L4.txt	15.04	13.6	9.57
P12_1_DANs_D1_EKDL230000933_1A_HNHG2ALXX_L2.txt	39.83	32.34	18.81
P12_1_DANs_D2_EKDL230000933_1A_HNHG2ALXX_L2.txt	53.96	44.69	17.18
Park_14_cl_4_D_B1_EKDL230000933_1A_HNHG2ALXX_L2.txt	32.18	26.82	16.66
Park_14_cl_4_D_B2_EKDL230000933_1A_HNHG2ALXX_L2.txt	41.81	32.7	21.8
Park14_7_11_22_1_EKDL220017801_1A_HKLKJDSX5_L3.txt	20.5	18.28	10.85
Park14_7_11_22_1_EKDL220017801_1A_HMNK7DSX5_L4.txt	12.08	10.89	9.83
Park14_7_11_22_2_EKDL220017801_1A_HKLKJDSX5_L3.txt	19.35	17.28	10.69
Park14_7_11_22_2_EKDL220017801_1A_HMNK7DSX5_L4.txt	11.46	10.36	9.61
Po4S_7_11_2022_1_EKDL220017801_1A_HKLKJDSX5_L3.txt	22.29	19.9	10.71
Po4S_7_11_2022_1_EKDL220017801_1A_HMNK7DSX5_L4.txt	13.13	11.89	9.44
Po4S_7_11_2022_2_EKDL220017801_1A_HKLKJDSX5_L3.txt	27.09	24.29	10.31
Po4S_7_11_2022_2_EKDL220017801_1A_HMNK7DSX5_L4.txt	16.03	14.56	9.17
Po4S_DANs_F1_EKDL230000933_1A_HNHG2ALXX_L2.txt	37.64	31.43	16.51
Po4S_DANs_F2_EKDL230000933_1A_HNHG2ALXX_L2.txt	42.52	35.05	17.56
Po4s_MSNs_C1_EKDL230000933_1A_HNHG2ALXX_L2.txt	31.45	24.85	20.99
Po4s_MSNs_C2_EKDL230000933_1A_HNHG2ALXX_L2.txt	33.21	27.78	16.36
Tr5L_7_11_2022_1_EKDL220017801_1A_HKLKJDSX5_L3.txt	20.35	18.34	9.87
Tr5L_7_11_2022_1_EKDL220017801_1A_HMNK7DSX5_L4.txt	12.01	10.96	8.74
Tr5L_7_11_2022_2_EKDL220017801_1A_HKLKJDSX5_L3.txt	23.74	20.72	12.72
Tr5L_7_11_2022_2_EKDL220017801_1A_HMNK7DSX5_L4.txt	13.89	12.27	11.63
